user	text	date
"Ciclaramanga
@Ciclaramanga
·
Aug 27"	#NoMásMuertesDeCiclistas | El siniestro vial ocurrió en la intersección de la calle 80 con carrera 81, en la localidad de Engativá. Momentos después, se registró otro accidente en la misma zona:	2025-08-27T12:00:00.000Z
"Pulzo
@pulzo
·
Aug 26"	"#ATENCIÓN  Accidente de camión paraliza al occidente de Bogotá: hubo peligroso derrame en la vía
https://pulzo.com/nacion/bogota/accidente-camion-paraliza-occidente-bogota-hubo-peligroso-derrame-PP4746901…"	2025-08-26T11:47:28.000Z
"FERCALI
@FERCALI1412949
·
Aug 26"	"@Bogota
 @SectorMovilidad
 @TransitoBta
 @SeguridadBOG
 accidente en av guayacanes con calle 6A por favor poner policía de tránsito en horas pico y poner reductores sobre la calle 6 A es un caos y muy peligrosa hay muchos conjuntos y colegio muchos cruces viales. Gracias"	2025-08-26T11:27:12.000Z
"BluRadio Colombia
@BluRadioCo
·
Aug 26"	"#Bogotá Permanece cerrada la Avenida de la Esperanza, a la altura del puente de la Avenida Boyacá, luego de que una tractomula sufriera un accidente de tránsito

[HILO]"	2025-08-26T10:16:18.000Z
"leo
@havitearbuds
·
Aug 25"	"""Ninguna afectacion a las 35000 personas"" 
No se debería esperar a que haya un accidente para preocuparse por la estabilidad de las graderías. Si era suficiente el movimiento para que la gente pida bajarse del miedo, ahí hay algo mal. Muero por ver a MCR pero no es la manera."	2025-08-26T04:44:37.000Z
"Q'hubo Bogotá
@qhubobogota
·
Aug 25"	#Judiciales Una mujer de 32 años falleció este sábado 23 de agosto en un accidente de tránsito ocurrido en la intersección de la Avenida Boyacá con Calle 26, en el occidente de Bogotá.	2025-08-26T01:40:38.000Z
"Calderón
@acaldeeronn
·
Aug 25"	Cuando vivía en Bogotá perdí citas médicas, me descontaron horas de trabajo, perdí una entrevista laboral y las dos únicas veces que me accidenté en la ciudad fueron por culpa de Transmilenio, las dos veces se estrelló.  Es el peor sistema de transporte que uno puede conocer.	2025-08-25T23:35:06.000Z
"エドゥアルド• アンドレス
@makubex88
·
Aug 25"	Disculpas chimbas. El sistema de metros de Tokyo es tan antiguo y en más de 60 años no han presentado ninguna falla o accidente grave, y los trenes siempre llegan a tiempo, si faltan 1 minuto, las compañías se disculpan con los usuarios.	2025-08-25T23:06:53.000Z
"Gio
@Giox_0
·
Aug 25"	"SE PINCHA UN HIJUEPUTA BUS DE ESOS Y COLAPSA EL SISTEMA.

falla mecanica... FALLA EL SISTEMA.
protesta... FALLA EL SISTEMA.
semaforo averiado... FALLA EL SISTEMA.
accidente con moto/carro/peaton... FALLA EL SISTEMA.
llueve mucho... FALLA EL SISTEMA

MALDITO SEA PEñALOSA!!!"	2025-08-25T22:48:05.000Z
"Pasa en Bogotá | Sr Bacca
@PasaenBogota
·
Aug 25"	"#BOGOTÁ. Se presenta accidente de tránsito en la loc/Los Mártires, Av. NQS con calle 13, encima del puente sentido Norte-Sur. Involucra camioneta y motocicleta, no se tiene información de lesionados.

ÚNETE  http://t.me/PasaenBogotaSrBacca…"	2025-08-25T20:34:13.000Z
